,School,Zip Code,Grades,Local District,Board District,complete_address
32,Equitas Academy #3 Charter School,90015,K- K,XR,2-Monica Garcia,1050 Beacon Ave Los Angeles CA 90015
33,Aurora Elementary,90011,K- 5,C,7-Dr Richard A Vladovic,1050 E 52nd Pl Los Angeles CA 90011
34,Granada Hills Charter,91344,9-12,XR,3-Scott M Schmerelson,10535 Zelzah Ave Granada Hills CA 91344
35,Dorothy V Johnson Community Day School,90002,9-12,S,7-Dr Richard A Vladovic,10601 S Grandee Ave Los Angeles CA 90002
36,Teach Tech Charter High School,90047,9-12,XR,1-Dr George J McKenna III,10616 S Western Ave Los Angeles CA 90047
37,Verdugo Hills Senior High,91042,9-12,NE,6-Kelly Gonez,10625 Plainview Ave Tujunga CA 91042
38,Overland Avenue Elementary,90064,K- 5,W,1-Dr George J McKenna III,10650 Ashby Ave Los Angeles CA 90064
39,"Girls Academic Leadership, Dr Michelle King School for STEM",90019,6-12,W,1-Dr George J McKenna III,1067 West Blvd Los Angeles CA 90019
40,Alliance Cindy & Bill Simon Technology Academy,90059,9-12,XR,7-Dr Richard A Vladovic,10720 S Wilmington Ave Los Angeles CA 90059
41,Roscoe Elementary,91352,K- 5,NE,6-Kelly Gonez,10765 Strathern St Sun Valley CA 91352
42,Downtown Business Magnet,90012,9-12,C,2-Monica Garcia,1081 W Temple St Los Angeles CA 90012
43,Darby Avenue Elementary,91326,K- 5,NW,3-Scott M Schmerelson,10818 Darby Ave Porter Ranch CA 91326
44,Plainview Academic Charter Academy,91042,K- 5,NE,6-Kelly Gonez,10819 Plainview Ave Tujunga CA 91042
45,George Washington Preparatory Senior High,90047,9-12,W,1-Dr George J McKenna III,10860 S Denker Ave Los Angeles CA 90047
46,Palms Middle School,90034,6- 8,W,1-Dr George J McKenna III,10860 Woodbine St Los Angeles CA 90034
47,Tulsa Street Elementary,91344,K- 5,NW,3-Scott M Schmerelson,10900 Hayvenhurst Ave Granada Hills CA 91344
48,Oxnard Street Elementary,91606,K- 5,NE,6-Kelly Gonez,10912 Oxnard St North Hollywood CA 91606
49,109th Street Elementary,90059,K- 5,S,7-Dr Richard A Vladovic,10915 S Mc Kinley Ave Los Angeles CA 90059
50,Century Park Elementary,90303,K- 5,W,1-Dr George J McKenna III,10935 S Spinning Ave Inglewood CA 90303
51,Berenece Carlson Home School,91602,K-12,XS,3-Scott M Schmerelson,10952 Whipple St North Hollywood CA 91602
52,Mount Gleason Middle School,91040,6- 8,NE,6-Kelly Gonez,10965 Mt Gleason Ave Sunland CA 91040
